time,x,y
1789342038.2276077,3324,1187
1789342038.2395766,3324,1187
1789342038.2516,3324,1187
1789342038.263663,3324,1187
1789342038.2756305,3324,1187
1789342038.2876885,3329,1195
1789342038.299767,3335,1203
1789342038.3128023,3340,1211
1789342038.3237786,3345,1215
1789342038.3368783,3355,1222
1789342038.347911,3376,1230
1789342038.3599765,3402,1238
1789342038.3729868,3444,1250
1789342038.3840232,3511,1265
1789342038.3970637,3584,1277
1789342038.4080942,3662,1289
1789342038.4201317,3724,1296
1789342038.4321694,3776,1304
1789342038.4442096,3828,1312
1789342038.4572513,3875,1320
1789342038.4682667,3927,1332
1789342038.4803174,3994,1347
1789342038.493385,4062,1363
1789342038.5044134,4129,1382
1789342038.5174491,4192,1398
1789342038.5284667,4249,1417
1789342038.5404842,4311,1441
1789342038.5535553,4374,1464
1789342038.5645802,4451,1495
1789342038.5776267,4519,1530
1789342038.5886605,4581,1562
1789342038.6007037,4649,1597
1789342038.6137366,4706,1628
1789342038.6247706,4758,1659
1789342038.637809,4800,1686
1789342038.6488562,4841,1714
1789342038.6608803,4888,1745
1789342038.6738741,4940,1784
1789342038.6849558,4997,1830
1789342038.6979892,5075,1916
1789342038.7090302,5132,1982
1789342038.72107,5179,2037
1789342038.7341046,5220,2088
1789342038.7451334,5251,2127
1789342038.7581744,5277,2166
1789342038.7692134,5303,2205
1789342038.7812505,5335,2267
1789342038.7942994,5366,2345
1789342038.8053267,5397,2423
1789342038.8183835,5423,2493
1789342038.829424,5444,2555
1789342038.841452,5459,2622
1789342038.8544807,5475,2739
1789342038.8654964,5480,2840
1789342038.8785417,5480,2918
1789342038.88958,5480,2984
1789342038.901618,5470,3058
1789342038.9146535,5449,3175
1789342038.92569,5428,3265
1789342038.9387317,5407,3339
1789342038.9497683,5376,3409
1789342038.9618034,5335,3487
1789342038.9748435,5267,3608
1789342038.9858704,5205,3693
1789342038.9989097,5148,3760
1789342039.0099459,5090,3822
1789342039.0219798,5028,3884
1789342039.0340211,4950,3951
1789342039.04601,4857,4029
1789342039.0590909,4768,4091
1789342039.0701306,4664,4157
1789342039.082156,4571,4212
1789342039.094205,4477,4259
1789342039.1062303,4384,4298
1789342039.1182685,4280,4329
1789342039.1303115,4176,4356
1789342039.1423469,4077,4379
1789342039.1554132,3958,4399
1789342039.1664367,3838,4411
1789342039.1794636,3719,4414
1789342039.190498,3605,4414
1789342039.2025325,3485,4407
1789342039.2145648,3376,4399
1789342039.2266035,3277,4387
1789342039.2396705,3179,4372
1789342039.2506783,3080,4356
1789342039.2627153,2987,4336
1789342039.275762,2893,4313
1789342039.286789,2794,4278
1789342039.2998326,2701,4235
1789342039.3108716,2618,4196
1789342039.3229148,2540,4157
1789342039.3359616,2467,4122
1789342039.3469806,2400,4087
1789342039.360025,2327,4048
1789342039.371062,2264,4009
1789342039.3831053,2197,3966
1789342039.3961387,2119,3896
1789342039.40717,2031,3803
1789342039.4202073,1974,3732
1789342039.4312496,1927,3678
1789342039.4432793,1885,3627
1789342039.456325,1849,3576
1789342039.4673488,1802,3495
1789342039.480406,1755,3389
1789342039.4914284,1729,3311
1789342039.5034678,1709,3245
1789342039.5164974,1698,3175
1789342039.5275311,1693,3074
1789342039.5405648,1693,2988
1789342039.551606,1688,2902
1789342039.5636377,1688,2844
1789342039.5766766,1688,2797
1789342039.587713,1698,2750
1789342039.600758,1714,2680
1789342039.6118007,1735,2590
1789342039.6238394,1766,2481
1789342039.6358702,1797,2411
1789342039.6479058,1828,2357
1789342039.6609352,1859,2310
1789342039.6720135,1901,2251
1789342039.684021,1948,2185
1789342039.697061,2000,2123
1789342039.7090983,2057,2053
1789342039.7221315,2109,2002
